PT;33,31;3,85;37,99;18590,6191907488;95,428108
BW;94,28;3,92;2,78;5617,68464805211;88,224411
PA;66,05;4,49;36,55;13274,4370014398;95,038231
BF;81,96;4,52;4,19;672,730660197173;37,7467
TG;54,62;4,69;4,03;616,76318966814;66,53759
CV;39,82;4,78;6,64;2997,5147732021;88,465424
LB;50,03;4,81;2,34;5952,84324562508;94,051102
GA;83,09;4,82;4,37;5003,58455245096;83,237877
MG;63,01;5,14;18,00;453,960700393644;64,656303
GY;53,79;5,25;4,43;6339,71890410458;87,535316
MR;712,46;5,56;1,47;1408,71769177789;52,123562
VU;160,13;6,06;2,22;2862,23850894513;85,058678
AE;111,20;7,62;28,33;39305,7796297503;92,986366
GR;38,72;8,16;26,01;16096,9264707927;95,29287
SC;70,56;8,64;3,96;14587,4332055692;95,321083
CY;48,70;8,84;15,62;24307,1084019286;99,059776
YE;39,34;15,98;0,65;745,893154705334;69,961952
ST;74,00;30,97;1,99;1455,72683008523;91,747108
GQ;156,79;49,67;0,75;3302,10555377672;95,195663
